实体名称,中文名,中文名称,外文名,英文名称,简称,别名,国家代码,政治体制,国家领袖,首都,国土面积,所属洲,时区,货币,主要民族,主要宗教,主要城市,官方语言,国歌,国庆日,最大城市,国家象征,法律体系,行政区划代码,行政区类别,所属地区,地理位置,下辖地区,政府驻地,著名景点,著名学府,省长,省委书记,州长,参议员,市长,市委书记,县长,主要组织,包含国家
中东,中东,,Middle East,,,中东地区,,,,,,,,,,,,,,,,,,,,,亚洲西部、非洲东北部,沙特、埃及、也门、伊拉克、伊朗等,,耶路撒冷、麦加等,,,,,,,,,,伊朗、埃及、沙特、伊拉克等
巴勒斯坦,巴勒斯坦国[1] ,,State of Palestine[1] ,,巴勒斯坦,,PLE,半总统共和制,"总统:马哈茂德·阿巴斯,总理:穆罕默德·埃什塔耶[6] ",耶路撒冷(法定)、拉姆安拉(实际),6220 km2,亚洲,UTC+2,以色列货币:新谢克尔(NIS),阿拉伯人(巴勒斯坦人),伊斯兰教-逊尼派,"杰里科,杰宁,伯利恒,加沙等",阿拉伯语,《我的救赎》,1988年11月15日,,,,,,,,,,,,,,,,,,,,
沙特,,沙特阿拉伯王国[3] ,,Kingdom of Saudi Arabia,沙特阿拉伯、沙特,,SAU,君主专制政体,国王:萨勒曼·本·阿卜杜勒-阿齐兹,利雅得,"2,250,000平方公里",亚洲,UTC+3,沙特里亚尔[3] ,阿拉伯人,伊斯兰教-逊尼派,吉达、麦加、麦地那、达曼等,阿拉伯语[3] ,《我们敬爱的国王万岁》,9月23日[3] ,,,,,,,,,,,,,,,,,,,,
阿联酋,阿拉伯联合酋长国,,The United Arab Emirates,,阿联酋,,ARE,贵族共和制,总统:哈利法·本·扎耶德·阿勒纳哈扬,阿布扎比,83600 km2,亚洲,UTC+4,阿联酋迪拉姆(Dirham),阿拉伯人,伊斯兰教,迪拜、沙迦、富查伊拉、乌姆盖万、阿治曼、哈伊马角等,阿拉伯语,Arabic Emirati Tahiat Alalam,12月2日,,,,,,,,,,,,,,,,,,,,
卡塔尔,卡塔尔国[5] ,,The State of Qatar[5] ,,卡塔尔,,QAT,君主专制政体,埃米尔:塔米姆·本·哈马德·阿勒萨尼,多哈[5] ,11521 km2[5] ,亚洲,UTC+3,卡塔尔里亚尔[5] ,阿拉伯人,伊斯兰教-逊尼派,,阿拉伯语[5] ,《和平的赞歌》,1878年12月18日[5] ,,,,,,,,,,,,,,,,,,,,
阿拉伯,,阿拉伯,,,,,,,,,,,,,阿拉伯人,伊斯兰教,,,,,,,,,地区,"西亚,北非","西亚,北非","阿拉伯半岛,北非,两河流域",,"扎耶德清真寺,亚特兰蒂斯酒店.",,,,,,,,,,
亚太,亚太,,Asia &amp; Pacific area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长城,长城,,The Great Wall,,,,,,,,,,,,,,,,,,,,,,,,中国北方,,,,,,,,,,,,,
冲绳,冲绳县,,冲縄県(日文)、おきなわけん(平假名)、Okinawa-ken(罗马拼音),,,,,,,,,,,,,,,,,,,,,,县,日本,日本九州岛和中国台湾省之间,,那霸市,首里城、守礼门等,,,,,,,,,,
安徽,安徽,,Anhui,,,皖、八皖、江淮、新安、吴头楚尾,,,,,,,,,,,,,,,,,,,省,中国华东地区,中国东部、长江下游、淮河中游,16个地级市,合肥市中山路1号[6] ,黄山、九华山、天柱山、万佛湖、皇藏峪、天堂寨、三河古镇等,,,,,,,,,,
太空珍珠港,太空珍珠港,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新疆,新疆,,Xinjiang,,,柱州、西域、安西、新疆省,,,,,,,,,,,,,,,,,,650000,自治区,中国西北地区,"中国西北部,亚欧大陆腹地",4个地级市、5个地区、5个自治州、10个自治区直辖县级市[8] ,乌鲁木齐市天山区中山路479号[9] ,天山、高昌古城、吐鲁番、喀纳斯湖、博斯腾湖、魔鬼城等,,,,,,,,,,
藏,西藏,,Xizang、Tibet、བོད་རང་སྐྱོང་ལྗོངས།(藏)、Poi Ranggyong Jong(藏语拼音)、Bod rang skyong ljongs(威利转写),,,藏、乌斯藏、吐蕃,,,,,,,,,,,,,,,,,,,自治区,中国西南地区,"中国西南地区边疆,青藏高原西南部",6个地级市、1个地区,拉萨市康昂路1号,布达拉宫、大昭寺、甘丹寺、珠穆朗玛峰、雅鲁藏布江等,,,,,,,,,,
中华人民共和国,中华人民共和国,,the People's Republic of China[15] ,,中国,,CHN,人民代表大会制度,,北京,"陆地面积约960万平方千米,水域面积约470多万平方千米。[2] ",亚洲,东八区(北京时间),人民币(港元、澳门币、新台币),汉族等56个民族,佛教、道教、伊斯兰教、天主教、基督教[17] ,北京、上海、广州、深圳等(排列不分先后),汉语(通用普通话),《义勇军进行曲》,10月1日,,,,,,,,,,,,,,,,,,,,
中华民国,中华民国,,Republic of China,,民国,,ROC,总统制共和制,,南京,,亚洲,UTC+8,银元、法币,汉、满、蒙、回、藏,儒教、佛教、道教、天主,上海、天津、汉口、南京、北平、重庆,普通话,中华民国国歌,10月10日,,,,,,,亚洲东部、东临太平洋,,,,,,,,,,,,,
中华,中华,,Ciumhoa、China、Cina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
索罗门,索罗门,,SoLoMo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
德州,德州市,,Dezhou City,,,安德、德县,,,,,,,,,,,,,,,,,,371400,地级市,中国华东地区,山东省西北部、中国华东地区,2个区、7个县、代管2个县级市,德城区东风东路1566号,中国太阳谷、黄河故道森林公园、泉城欧乐堡梦幻世界、海岛金山寺,,,,,,,,,,
明尼苏达,,明尼苏达州,,,,北星之州、千湖之州,,,,,,,,,,,,,,,,,,,州,美国内地7州之一,,,圣保罗,,,,,,,,,,,
新墨西哥,,新墨西哥州,,,,仙人掌州/迷人之州/阳光之州,,,,,,,,,,,,,,,阿尔伯克基(Albuquerque),,,,州级,西南部,西部,"圣菲,阿布奎基",圣菲(Santa Fe),,,,,,,,,,,
温哥华,,美国华盛顿州城市,,,,,,,,,,,,,,,,,,,,,,,城市,华盛顿州,,,,,,,,,,,,,,
广州,广州,,"Guangzhou,Canton,Kwangchow",,,穗、花城、羊城、五羊城,,,,,,,,,,,,,,,,,,,地级市,中国华南地区,"广东省中南部,珠三角北部",11个市辖区,广东省广州市越秀区府前路1号,花城广场/广州塔/陈家祠/宝墨园/长隆旅游度假区/沙面/圣心大教堂,,,,,,温国辉,张硕辅,,,
不丹,不丹王国[2] ,,Kingdom of Bhutan,,不丹,,BTN,议会制君主立宪制,国王:吉格梅·凯萨尔·纳姆耶尔·旺楚克、首相:洛塔·策林,廷布[2] ,38394 km2,亚洲,UTC+6,努尔特鲁姆,不丹人、尼泊尔人[2] ,藏传佛教(噶举派)、印度教[2] ,普那卡,宗卡语[2] ,《神龙王国》,1907年12月17日[2] ,廷布,龙,,,,,,,,,,,,,,,,,,
珍珠港,珍珠港,,Pearl Harbor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
唐人街,中国城,,차이나타운 / Coin Locker Girl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南美洲,,南亚美利加洲,,,,南美洲,,,,,,,,,,,,,,,,,,,大洲,美洲南部,"西半球、南半球。东临大西洋,西临太平洋,北临加勒比海",,,巴西利亚大教堂、安第斯山脉、印加博物馆、亚马逊河等,,,,,,,,,,
马来西亚,马来西亚[1] ,,Malaysia(马来文亦同)[1] ,,大马[5] ,,MYS,议会制君主立宪制,苏丹阿都拉(最高元首)[6] ,吉隆坡[1] ,330345 km2(2016年)[9] ,亚洲,UTC+8,马来西亚令吉(MYR)[1] ,马来人、华人、印度人[1] ,伊斯兰教[1] ,吉隆坡、槟城、新山、怡保、马六甲,马来语,《我的祖国》,1957年8月31日[1] ,,,英美法系,,,,,,,,,,,,,,,,,
埃及,阿拉伯埃及共和国[1] ,,The Arab Republic of Egypt[1] ,,埃及,,EGY,总统制共和制,"总统:阿卜杜勒·法塔赫·塞西,总理:穆斯塔法·马德布利",开罗[1] ,1001449 km2[1] ,非洲,UTC+2,埃及镑[1] ,阿拉伯人、科普特人[1] ,伊斯兰教-逊尼派、基督教-科普特教会[1] ,"亚历山大,伊斯梅利亚,塞得港,沙姆沙伊赫,卢克索,阿斯旺等[1] ",阿拉伯语[1] ,《我的祖国》[1] ,1952年7月23日[1] ,,,,,,,,,,,,,,,,,,,,
爱尔兰,爱尔兰共和国,,Republic of Ireland,,爱尔兰,"“欧洲小虎”,“翡翠绿岛”",IRL,议会制共和制,总统:迈克尔·希金斯、总理:米歇尔·马丁[1] ,都柏林[1] ,70280 km2[5] ,欧洲,东西十二区,欧元[1] ,爱尔兰人,天主教,"科克,利默里克,高威等",爱尔兰语、英语[1] ,《战士之歌》,3月17日[1] ,都柏林,,,,,,,,,,,,,,,,,,,
匈牙利,匈牙利[1] ,,"Hungary,Magyarország[1] ",,,,HUN,议会制共和制,"总统:阿戴尔·亚诺什,总理:欧尔班·维克托",布达佩斯(Budapest)[1] ,93030 km2[1] ,欧洲,UTC+1,匈牙利福林[1] ,匈牙利人[1] ,天主教、基督新教[1] ,"米什科尔茨,德布勒森,佩奇,塞格德等[1] ",匈牙利语[1] ,《天祐匈牙利人》(Himnusz),1949年8月20日,布达佩斯,,,,,,,,,,,,,,,,,,,
北约,北大西洋公约组织,,"英语:North Atlantic Treaty Organization,缩写:NATO;法语:Organisation du Traité de l'Atlantique Nord,简称:OTAN)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海南,海南,,Hainan,,,琼、琼州、琼崖,,,,,,,,,,,,,,,,,,,省,中华人民共和国,中国华南地区、中国最南端,4个地级市、15个省直辖县级行政单位,海口市美兰区国兴大道9号,万绿园、铜鼓岭、博鳌、日月湾、五指山、分界洲岛、天涯海角等,,沈晓明,刘赐贵,,,,,,,
四川,四川,,Sichuan,,,川、蜀、天府之国,,,,,,,,,,,,,,,,,,,省,中国西南地区,西南内陆地区,18个地级市、3个自治州,成都市锦江区督院街30号,九寨、黄龙、都江堰、青城山、乐山大佛、峨眉山、阆中古城等,,,,,,,,,,
厦门,厦门,,Xiamen、Amoy、Hsiamen,,,鹭岛、新城、嘉禾里、嘉禾屿、中左所、厦门城、思明州,,,,,,,,,,,,,,,,,,,地级市[16] ,中国华东地区,"福建省东南沿海,台湾海峡西岸",思明区、湖里区、集美区、海沧区、同安区、翔安区,思明区湖滨北路61号,鼓浪屿、胡里山炮台、南普陀寺、曾厝垵等,,,,,,,,,,
海康,雷州市,,Leizhou,,,海康(旧县名),,,,,,,,,,,,,,,,,,440882,县级市,广东省湛江市,雷州半岛中部,3个街道、18个镇,雷城街道办,雷祖祠、雷州市博物馆、雷州西湖、雷州三元塔、雷州天宁寺等,,,,,,,,,,
华府,,华盛顿哥伦比亚特区,,,,华盛顿、华府、华都,,,,,,,,,,,,,,,,,,,首都、特区,美国,美国东北部,,马丁·路德·金大道(东南)2720号,白宫、国会山、林肯纪念堂、华盛顿纪念碑等,,,,,,穆丽尔·鲍泽,,,,
开河,,开河,,,,,,,,,,,,,,,,,,,,,,,,,山东省梁山县,,,,,,,,,,,,,
海峡两岸,海峡两岸,,Across the Strait,,,海峡两岸关系论坛(前身)[4] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
内陆,内陆,,Terraferma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
东南亚,东南亚,,Southeast Asia(SEA),,,,,,,,,,,,,,吉隆坡 新加坡 雅加达 曼谷 河内,,,,,,,,,,,,,,,,,,,,,,,
中山,中山,,Chungshan、Zhongshan,,,香山,,,,,,,,,,,,,,,,,,442000,地级市,广东省,中国华南、广东省中南部,18个镇、6个街道,东区街道松苑路1号,孙中山故里、孙文西路步行街、岐江公园、中山城,,,,,,,,,,
中国大陆,,中国大陆,,,,大陆地区、大陆,,,,,,,东八区(北京时间),,,,北京、上海、深圳、广州、武汉、成都、南京、重庆、天津、长沙等,现代标准汉语,,,,,,,政治区域,中华人民共和国,"亚欧大陆东部,太平洋西岸",22个省、5个自治区、4个直辖市、2个特别行政区,北京市,长城、故宫、西湖、苏州古典园林、兵马俑、桂林山水、橘子洲等,,,,,,,,,,
明尼阿波利斯市,,明尼阿波利斯市,,,,,,,,,,,,,,,,,,,,,,,,美国 明尼苏达州,,,,,,,,,,,,,,
亚马逊,,,Amazon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
特拉法加广场,特拉法尔加广场,,Trafalgar Square,,,,,,,,,,,,,,,,,,,,,,,,,,,纳尔逊纪念碑和铜像,,,,,,,,,,
牛津,,牛津,,,,,,,,,,,,,,,,,,,,,,,,英国英格兰东南区,英国英格兰东南区域牛津郡,,,牛津大学,,,,,,,,,,
布里斯托,,布里斯托尔,,,,碧仙桃,,,,,,,,,,,,,,,,,,,名誉郡,英格兰,英格兰西南部,,"Park Street,College Green, Bristol ",韦尔斯纪念塔  克里夫顿悬桥,,,,,,,,,,
纽顿,纽顿·塞尔吉奥·皮科利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西印度群岛,西印度群岛,,The West Indies,,,,,,,,,,,,,基督教(新教)、天主教,,,,,,,,,,,,,,,,,,,,,,,,
南卡罗莱纳州,,南卡罗来纳州,,,,南卡罗、矮棕榈,,,,,,,,,,,,,,,,,,,一级州,美国东南,,查尔斯顿、格林维尔等,哥伦比亚城,萨瓦纳河等,,,,,,,,,,
英格兰,,英格兰,,England,英国,英吉利,,议会制君主立宪制,女王:伊丽莎白二世;首相:鲍里斯·约翰逊[1] ,伦敦,"130,279平方公里",欧洲,UTC+0(夏时制:UTC+1),英镑,英格兰人,圣公会 天主教,"伯明翰,利兹,利物浦,谢菲尔德,曼彻斯特等",英语,《天佑女王》,4月21日,,,,,,,,,,,,,,,,,,,,
约克郡,,约克郡,,,,,,,,,,,,,,,,,,,,,,,,英国英格兰,英格兰东北部,北约克郡、西约克郡、南约克郡等,,约克大教堂、约克郡宽谷、约克郡博物馆等,,,,,,,,,,
肯尼亚,,肯尼亚共和国[3] ,,The Republic of Kenya,肯尼亚,,KEN,总统制共和制,总统:乌胡鲁·肯雅塔、总理:拉伊拉·奥廷加,内罗毕[3] ,582646平方公里[3] ,非洲,UTC+3,肯尼亚先令[3] ,基库尤族、卢赫亚族、卡兰津族、马赛族,基督新教、天主教、巫毒教、伊斯兰教,蒙巴萨、纳库鲁,斯瓦希里语、英语[3] ,《Ee Mungu Nguvu Yetu》,1964年12月12日,内罗毕,,,,,,,,,,,,,,,,,,,
长滩,长滩,,Long Beach,,,长堤,,,,,,,,,,,,,,,,,,,市,洛杉矶县,美国本部,,,长滩海滩、温那莎博物馆,,,,,,包柏·佛斯特,,,,
东非,非洲东部,,,,,东非,,,,,,,,,,,,,,,,,,,地区,,非洲东部,,,"乞力马扎罗,东非大裂谷等",,,,,,,,,,
加纳,,加纳共和国[2] ,,The Republic of Ghana[2] ,加纳,,GHA,总统制共和制,总统:纳纳·阿库福—阿多(Nana Akufo-Addo),阿克拉[2] ,238537平方公里[2] ,非洲,UTC+0,加纳赛地[2] ,阿肯族、莫西—达戈姆巴族、埃维族、加—阿丹格贝族[2] ,基督教、拜物教、伊斯兰教,库马西、塔马利、特马,英语[2] ,《上帝保佑我们的家园-加纳》,1957年3月6日,阿克拉,,,,,,,,,,,,,,,,,,,
津巴布韦,,津巴布韦共和国[1] ,,The Republic of Zimbabwe,津巴布韦,,ZWE,半总统共和制,总统:埃默森·姆南加古瓦(Emmerson Mnangagwa ),哈拉雷,39万平方公里[1] ,非洲,UTC+2,美元、南非兰特、欧元等9种货币[1] ,绍纳人、恩德贝勒人,基督教、原始宗教、伊斯兰教,"布拉瓦约,穆塔雷,奎鲁,奎奎",英语、绍纳语和恩德贝莱语[1] ,神圣的津巴布韦土地,1980年4月18日,,,,,,,,,,,,,,,,,,,,
达拉斯,达拉斯,,Dallas,,,,,,,,,,美国东部时间,,,,,,,,,,,,市,美国德克萨斯州,美国南部,,,"勃勒杨小屋,美丽公园,达拉斯剧场中心等",,,,,,,,,,
布朗克斯区,,布朗克斯区,,,,勃朗市、布朗士,,,,,,,,,,,,,,,,,,,,纽约,,,,,,,,,,,,,,
达拉斯市,达拉斯,,Dallas,,,,,,,,,,美国东部时间,,,,,,,,,,,,市,美国德克萨斯州,美国南部,,,"勃勒杨小屋,美丽公园,达拉斯剧场中心等",,,,,,,,,,
哥伦布市,哥伦布,,Columbus,,,,,,,,,,,,,,,,,,,,,,首府,美国东部,俄亥俄州中部,,,,,,,,,,,,,
贝宁,,贝宁共和国[2] ,,The Republic of Benin[2] ,贝宁,,BEN,总统制共和制,总统:帕特里斯·纪尧姆·阿塔纳斯·塔隆、总理:帕斯卡尔·库帕基,波多诺伏[2] ,112622平方公里[2] ,非洲,UTC+1,非洲金融共同体法郎[2] ,丰族、阿贾族、约鲁巴族、巴利巴族、奥塔玛里族、颇尔族[2] ,传统宗教、基督教、伊斯兰教[2] ,科托努,法语[2] ,《新的黎明》,1960年8月1日,科托努,,,,,,,,,,,,,,,,,,,
巴尔的摩,巴尔的摩,,Baltimore,,,"巴的摩尔,巴地摩",,,,,,,,,,,,,,,,,,,美国马里兰州独立市,美国大西洋沿岸,美国大西洋沿岸,,,,,,,,,,,,,
辛辛那提,辛辛那提,,Cincinnati,,,,,,,,,,,,,,,,,,,,,,市,美国俄亥俄州,美国中部俄亥俄州西南端,,,,,,,,,,,,,
凤凰城,,凤凰古城,,,,,,,,,,,,,,,,,,,,,,,,,湖南省湘西土家族苗族自治州凤凰县,,,北门古城楼、陈斗南宅院、沱江吊脚楼、石板老街、万名塔、奇峰山,,,,,,,,,,
京,北京,,Beijing[10] ,,,北平、燕京、蓟、幽州,,,,,,,,,,,,,,,,,,110000,直辖市,中华人民共和国,"中国华北地区,华北平原北部",16个市辖区,通州区运河东大街57号[11] ,天安门广场、故宫、圆明园、颐和园、八达岭长城、明十三陵等,,,,,,,,,,
香港特区,香港,,Hong Kong,,,香江、香岛、东方之珠,,行政主导的代议民主制,,,,,GMT+8,港元(HK$),,,,,,,,,英美法系,,特别行政区,中国华南,"珠江三角洲东南部,珠江口东岸,南海北部","香港岛、九龙半岛、新界,共18区",香港岛中西区添马添美道2号,维多利亚港、香港迪士尼乐园、海洋公园、香港杜莎夫人蜡像馆等,,,,,,,,,,
缅甸,缅甸联邦共和国,,The Republic of the Union of Myanmar;Myanmar,,缅甸,,MMR,总统制共和制,总统:温敏;国务资政:昂山素季[1] ,内比都,676578 km2,亚洲,UTC+6:30,缅元,缅族、克伦族、掸族、克钦族、钦族、克耶族、孟族、若开族[4] ,上座部佛教,"仰光,勃生,曼德勒,密支那等",缅甸语,《世界不灭》,1948年1月4日,仰光,,,,,,,,,,,,,,,,,,,
苏丹,,苏丹共和国[1] ,,The Republic of Sudan[1] ,苏丹,,SDN,总统制共和制,军事过渡委员会[1] ,喀土穆[1] ,1886068平方公里,非洲,UTC+2[4] ,苏丹镑[1] ,努比亚人、阿拉伯人[1] ,伊斯兰教-逊尼派[1] ,"苏丹港,北喀土穆,恩图曼等[1] ",英语、阿拉伯语[1] ,《我们是真主和我们土地的军队》,1956年1月1日,,,,,,,,,,,,,,,,,,,,
比基尼岛,,比基尼岛,,,,,,,,,,,,,,,,,,,,,,,,马绍尔群岛共和国,马绍尔群岛北端,,,,,,,,,,,,,
西欧,欧洲西部,,Western Europe,,,,,,,,,,,,,,,,,,,,,,地理分区,欧洲西北部,"北临北冰洋,西临大西洋,南临地中海",,,,,,,,,,,,,
爱达荷州,,爱达荷州,,,,宝石州 Gem State,,,,,,,,,,,,,,,,,,,联邦州,美国,,博伊西、波卡特洛,博伊西,鲑鱼河,,,,布茨·欧特,,,,,,
北达科他州,,北达科他州,,,,北达科塔州、苏族之州,,,,,,,,,,,,,,,,,,,州,美国中西部,,俾斯麦、法戈、大福克斯,,国际和平公园、西奥多·罗斯福国家公园,,,,,,,,,,
爱荷华州,,艾奥瓦州,,,,爱荷华州、爱阿华州、爱我华州或衣阿华州,,,,,,,Central:UTC-6/DST-5,,,,,,,,得梅因(Des Moines),,,,一级行政区,美国,美国中西部,艾姆斯、得梅因,,,,,,,,,,,,
西弗吉尼亚州,西弗吉尼亚州,,State of West Virginia,,,山脉之州(Mountain State),,,,,,,,,,,,,,,查尔斯顿,,,,州,是美国南部的一个州,美国南部,55个县,查尔斯顿,黑水瀑布公园、新河峡大桥、新河峡国家公园,,,,吉姆·贾斯蒂斯(Jim Justice),,,,,,
开曼群岛,开曼群岛,,Cayman Islands,,,,CYM,议会制君主立宪制,总督:海伦·基尔帕特里克、总理:奥尔登·麦克劳克林,乔治城(George Town),264 km2,北美洲,大西洋标准时区UTC-05:00,开曼元(KYD),白人、黑人、混血种人,基督新教,,英语,《天佑女王》,,乔治敦,,,,,,,,,,,,,,,,,,,
哈萨克,哈萨克族,,Kazakh、Qazaq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台北市,台北市,,Taipei City,,,北市,,,,,,,,,,,,,,,,,,710100,市,台湾省,台湾岛北部,12个市辖区,信义区,台北故宫博物院、阳明山、国父纪念馆、自由广场、101大楼等,,,,,,柯文哲[6] ,,,,
康乃狄克州,康涅狄格州,,英文:State of Connecticut--CT,,,宪法之州(Constitution State)、豆蔻之州(Nutmeg State)[4] ,,,,,,,,,,,,,,,布里奇波特(Bridgeport),,,,联邦州,美国东北部新英格兰地区,美国东北部的新英格兰地区,"哈特福德,布里奇波特,纽黑文",哈特福德(Hartford),"肯特瀑布州立公园;灯塔公园,黑岩国家公园",,,,,,,,,,
俄克拉荷马,俄克拉荷马,,OKLAHOMA!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿肯色,,阿肯色州,,,,机会之地 自由之州,,,,,,,,,,,,,,,,,,,联邦州,美国东南,位处密西西比河中下游,,小石城,,,,,迈克·戴尔·毕比,,,,,,
新罕布什尔,,新罕布什尔州,,,,花岗岩州,,,,,,,,,,,"曼彻斯特,纳舒厄(Nashua)",,,,,,,,州,美国东北部的新英格兰区域,美国东北部的新英格兰区域,,康科德,,,,,约翰·林奇(民主党),贾德·格雷格、约翰·苏努努,,,,,
多哈,多哈,,DOHA(英)、دوحة(阿),,,,,,,,,,+3时区UTC/GMT+3个小时,,,,,,,,,,,,首都,卡塔尔,"北纬25.26°,东经51.56°",,,"卡塔尔大学,伊斯兰艺术博物馆,多哈天际线",,,,,,,,,,
瓦罕走廊,,瓦罕走廊,,,,阿富汗走廊、瓦罕帕米尔,,,,,,,,,,,,,,,,,,,,帕米尔高原,帕米尔高原和兴都库什山脉之间,,,,,,,,,,,,,
南亚,南亚,,South Asia,,,,,,,,,,,,,印度教、伊斯兰教,,,,,,,,,,,,,,,,,,,,,,,,
南斯拉夫,南斯拉夫社会主义联邦共和国,,Socialist Federal Republic of Yugoslavia,,南斯拉夫,,,代表团制,约瑟普·布罗兹·铁托、伊万·里巴尔、多布里察·乔西奇、斯洛博丹·米洛舍维奇、沃伊斯拉夫·科什图尼察、等,贝尔格莱德,266790 km2,欧洲,UTC+1-UNT+2,第纳尔,塞尔维亚人、克罗地亚人、斯洛文尼亚人、黑山人、马其顿人等,东正教、天主教、伊斯兰教,萨格勒布、卢布尔雅那、波德戈里察、斯科普里、萨拉热窝等,塞尔维亚-克罗地亚语,"《嗨,斯拉夫人》",4月27日,,,,,,,,,,,,,,,,,,,,
布什,布什,,Bush,,,布希、布殊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
伊斯兰国,伊斯兰国,,الدولة الإسلامية,,ISIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台北州,,台北州,,,,,,,,,,,,,,,,,,,,,,,,台湾北部,,今台北市、新北市、基隆市、宜兰县,,,,,,,,,,,,
新北市,新北市,,New Taipei City,,,台北县,,,,,,,,,,,,,,,,,,710800,市,台湾省,台湾岛北部,29个市辖区,板桥区,云仙乐园、大尖山、十分瀑布、承天禅寺、淡水老街、乌来温泉,,,,,,侯友宜[2] ,,,,
台湾省,,台湾,,,,宝岛、福尔摩沙,,,,,,,,,汉族、高山族[27] ,佛教、道教、基督新教、天主教等[28] ,台北、高雄、新北、台中、台南等,,,,,,,710000,省,华东地区,中国大陆东南海域,6“院辖市”、3市、13县,台北市,台北101、台北故宫、日月潭、阿里山、玉山、爱河、垦丁、太鲁阁,,,,,,,,,,
台湾岛,台湾岛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台湾海峡,台湾海峡,,Taiwan Strait,,,,,,,,,,,,,,,,,,,,,,,中华人民共和国,,,,,,,,,,,,,,
中原,中原,,the Central Plains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
铜锣湾,,铜锣湾,,,,,,,,,,,,,,,,,,,,,,,,,香港特别行政区湾仔区,,,"海洋公园,维多利亚公园,文武庙",,,,,,,,,,
高雄市,高雄市,,Kaohsiung City,,,高市,,,,,,,,,,,,,,,,,,,“直辖市”,台湾地区,台湾岛西南部,38个市辖区,高雄市苓雅区四维三路2号,"高雄八景,西子湾风景区,莲池潭,寿山公园,佛光山,旗后灯塔",,,,,,,,,,
南乐,南乐县,,Nanle County,,,,,,,,,,,,,,,,,,,,,,县,河南省濮阳市,河南省东北部海河流域,4镇、8乡,城关镇,"南乐文庙,宋耿洛汉墓群,黄泥岗,仓颉陵",,,,,,,,,,
堪萨斯州,,堪萨斯州,,,,向日葵之州,,,,,,,,,,,,,,,,,,,州,美国中部,美国中部,"威奇塔,曼哈顿,堪萨斯城,海斯",托皮卡(Topeka),"中部国家公园,迪普埃伦现场音乐中心,堪萨斯立体电影院",,,,萨姆·布朗贝克,,,,,,
深圳,深圳,,Shenzhen,,,鹏城,,,,,,,,,,,,,,,,,,,地级市,中国华南地区,"广东省南部沿海,珠江口东岸",9个市辖区,深圳市福田区福中三路深圳市民中心,世界之窗、欢乐谷、东部华侨城、大小梅沙、中英街、大鹏所城等[24] ,,,,,,,,,,
巴基斯坦,巴基斯坦伊斯兰共和国[1] ,,Islamic Republic of Pakistan;Pakistan,,巴基斯坦,,PAK,议会制共和制,总统:阿里夫·阿尔维、总理:伊姆兰·汗[4] ,伊斯兰堡[1] ,796095平方公里(不包括巴控克什米尔地区)[1] ,亚洲,UTC+5,巴基斯坦卢比[1] ,旁遮普族、信德族、帕坦族、俾路支族[1] ,伊斯兰教、基督教、印度教、锡克教[1] ,"卡拉奇,拉合尔,拉瓦尔品第,费萨拉巴德,海得拉巴,白沙瓦等[1] ",乌尔都语、英语[1] ,《保佑神圣的土地》,1956年3月23日[1] ,卡拉奇,,英美法系,,,,,,,,,,,,,,,,,
湖北省,湖北,,Hubei,,,鄂、楚、荆楚,,,,,,,,,,,,,,,,,,420000,省,中国华中地区,"中国中部,长江中游",12个地级市、1个自治州、4个省直辖县级行政单位,武汉市武昌区洪山路7号,黄鹤楼、武汉东湖、神农架、武当山、长江三峡、隆中风景区、等,,,,,,,,,,
马德里,马德里,,Madrid,,,“欧洲之门”,,,,,,,UTC+1夏令时UTC+2,,,,,,,,,,,,首都,西班牙马德里自治区,伊比利亚半岛中部,"赫塔费,阿尔卡拉",,"普拉多博物馆,马约尔广场,阿尔卡拉门,太阳门",,,,,,,,,,
唐宁街,,唐宁街,,,,,,,,,,,,,,,,,,,,,,,,伦敦,英国首都伦敦的西敏内,,,,,,,,,,,,,
