实体名称,中文名,外文名,别名,性别,国籍,民族,祖籍,出生地,出生日期,职业,职务,职称,所属政党,政党,语言,净资产,毕业院校,学历,信仰,主要成就,代表作品,父母,妻子,人物评价,人物影响,对华关系,对华政策,政见,立场,军衔
阿伦斯,罗兰多·阿伦斯,Rolando Aarons,,,英格兰(牙买加)双重国籍,,,金斯敦,1995年11月16日,,,,,,,,布里斯托尔城青训,,,,,,,,,,,,,
莫雷诺,吉奥瓦尼·莫雷诺,Giovanni Moreno,乔瓦尼·莫雷诺[1] ,,哥伦比亚,,,塞哥维亚(哥伦比亚),1986年7月1日,,,,,,,,,,,,,,,,,,,,,
尼古拉斯·马杜罗·莫罗斯,尼古拉斯·马杜罗,Nicolás Maduro Moros,,,委内瑞拉,,,加拉加斯市,1962年11月23日,政治家,,,,,,,,,,前委内瑞拉社会主义青年团成员曾任委内瑞拉外交部长2013年赢得大选成为委内瑞拉总统,,,,,,,,,,
萨拉斯,马塞洛·萨拉斯,,萨拉斯,,智利,,,,1974年12月24日,,,,,,,,,,,,,,,,,,,,,
霍兰德,约翰·霍兰德,John Holland,,,美国,,,,,,,教授,,,,,,,,1959年提出了具有广泛社会影响的人业互择理论,,,,,,,,,,
丹尼尔,丹尼尔·雷德克里夫,Daniel Jacob Radcliffe,丹尼尔·雅各布·雷德克里弗(原名),,英国,,,英国伦敦富勒姆,1989年7月23日,演员,,,,,,,,,,第21届MTV电影奖最佳英雄角色奖第38届人民选择奖最受欢迎电影男演员奖(提名)第13届青少年选择奖最佳夏日电影男星奖第34届土星奖最佳年轻演员奖(提名),哈利·波特与魔法石、哈利·波特与密室、哈利·波特与阿兹卡班的囚徒、哈利·波特与凤凰社,,,,,,,,,
马克,马克·奥巴马·狄善九,Mark Okoth Obama Ndesandjo,,,美国,,,肯尼亚,,作家、钢琴家,,,,,,,斯坦福大学 布朗大学,,,,《从内罗毕到深圳》,,,,,,,,,
格鲁什科,格鲁什科,Валентин Петрович Глушко,,,乌克兰,,,,1908年9月2日,,,,,,,,列宁格勒大学,,,,,,,,,,,,,
凯特·布朗,凯特·布朗,Kate Brown,,,美国,,,,,,俄勒冈州州长,,,,,,,,,,,,,,,,,,,
加文·纽森,加文·纽森,Gavin Newsom,,,美国,,,,1967年10月10日,,,,,,,,圣克拉拉大学,,,,,,,,,"2008年CNN事件后，纽森在获悉旧金山华裔社区26日的抗议行动时表示，作为CNN的观众，对他们今次处理方式表示失望。“我真希望他们出来说，卡弗蒂是错了，不希望再听到类似的言论”，纽森说：“大家可以有各自的观点，但不应该侮辱13亿中国人。”
美西当地时间9月29日中午，美国旧金山市长纽森和中国驻旧金山总领事高占生共同在市政府升起五星红旗，开香槟庆祝中华人民共和国诞生59周年。纽森宣布10月1日为“华裔传统日”。
纽森说，美国和中国的关系最为重要，旧金山的历史和华人在美的历史不可分离。旧金山有全美最大的中国城，华人占全市人口三分之一。华人奉献、立业并融入社会，将华人传统和文化与其他民族共同分享。纽森鼓励华人参政，提升华人和华人社区的力量。
1979年，旧金山和上海结为友好城市。纽森当天宣布，他
将在1个月后再次访问中国。届时，筹划已久的旧金山市府驻上海办事处也将开张。
纽森感谢中国驻旧金山总领馆致力于推动、促进旧金山人民和中国人民在文化、经贸和旅游等领域的交流和合作，增进相互之间的了解和尊重。
高占生总领事感谢旧金山市政府和人民的友好情谊。他同时感谢旧金山市府和人民保障奥运火炬顺利传递、及时援助四川汶川大地震。",,,,
约翰逊,斯嘉丽·约翰逊,Scarlett Johansson,史嘉莉·祖安逊(香港)、史嘉蕾·乔韩森(台湾),,美国,,,美国纽约,1984年11月22日,演员、歌手,,,,,,,,,,第57届英国电影学院奖最佳女主角奖第64届托尼奖戏剧类最佳女配角奖第8届罗马国际电影节最佳女主角奖第39届法国电影凯撒奖荣誉奖第44届人民选择奖年度电影女星奖,迷失东京、戴珍珠耳环的少女、复仇者联盟、超体、婚姻故事、皮囊之下、她,,,斯嘉丽·约翰逊美艳不可方物，性感双唇，娇嫩肌肤、清澈眼眸、诱惑曲线，对男人的“杀伤力”可谓老少通吃。她的身材玲珑有致可与玛丽莲·梦露相媲美，性感的金发和嘴唇让她看起来很有黄金时代女星的风范，兼具古典与现代美。在电影《赛末点》中，斯嘉丽扮演外表坚强内心脆弱的女演员诺拉，将这个角色风骚又不失天真的特点演绎的丝丝入扣。在《迷失东京》中，斯嘉丽·约翰逊将影片中疏离与孤寂的情绪精确地传递给了观众。在舞台剧《桥上一瞥》中，斯嘉丽·约翰逊完全与剧中角色融为一体，灵气尽露。在《复仇者联盟》中，斯嘉丽·约翰逊扮演的娜塔莎·罗曼诺夫在片中甫一现身即艳惊四座，丰满妖娆的身形一览无余 ,,,,,,
纽特·金里奇,纽特·金里奇,"Newt Gingrich,1943年",纽特·金瑞奇,,美国,,,生于宾夕法尼亚州首府哈里斯堡,1943年,美国政治家,,,,,,,,,,1978年当选佐治亚州国会众议员1995年当选《时代》周刊年度人物,,,,,,,,,,
詹宁斯,布兰登·詹宁斯,Brandon Jennings,,,美国,,,美国加利福尼亚州洛杉矶,1989年9月23日,,,,,,,,橡树山高中,,,,,,,,,,,,,
布赖恩·肯普,布赖恩·肯普,,,,美国,,,,,,,,,,,,,,,,,,,,,,,,,
丹·帕特里克,丹·帕特里克,Dan Patrick,,,美国,,,,,,,,,,,,,,,,,,,,,,,,,
弗朗西斯·福山,弗朗西斯·福山,Francis Fukuyama,,,美国,大和民族,,,1952年10月27日,学者,,,,,,,哈佛大学,,,,《政治秩序的起源:从前人类时代到法国大革命》等,,,,,,,,,
卡纳,罗里克·卡纳,Lorik Cana,,,阿尔巴尼亚,,,"普里斯蒂纳,科索沃",1983年7月27日,,,,,,,,,,,,,,,,,,,,,
理查德·霍顿,理查德·查尔斯·霍顿,,,,英国,,,,,,,,,,,,,,,"2015年9月30日,荣获2015年度中国政府“友谊奖”",,,,,,,,,,
刘丽娜,刘丽娜,,,,,俄罗斯族,,新疆塔城,1979年2月20日,运动员,,,,,,,,,,,,,,,,,,,,
小布什,乔治·沃克·布什,George Walker Bush,小布什,,美国,美利坚民族,,康涅狄格州纽黑文,1946年7月6日,,政治家、商人,,美国共和党,,,,哈佛商学院,,基督教新教卫斯理宗,2001年至2009年担任第43任美国总统2000年和2004年两度登上《时代周刊》年度风云人物推翻塔利班政权并铲除基地组织势力推翻萨达姆政权,《抉择时刻》,,,"小布什看到了恐怖主义活动的邪恶，他将继续坚持一贯的打击恐怖主义政策，使美国变得更加安全。 [13]  （纽约前市长鲁迪·朱利安尼评）
在美国的总统历史上，多数总统在卸任后仍然获得人们的尊敬，而小布什却给出了反例。 [53]  （英国《泰晤士报》评）
与林登·约翰逊相比，他缺少了野心；与理查德·尼克松相比，他缺少了勤奋；与吉米·卡特相比，他缺少了原始真挚的理想主义；与前任比尔·克林顿相比，他缺少了导致自我堕落的罪恶欲望。与他的诸多前任相比，小布什显得更加简单和平凡，或许，正是因为他所处的时代就是一个简单而平凡的时代，才使得小布什最终成为了美国总统。 [54]  （《纽约时报》华盛顿分部记者法兰克·布鲁尼评）",,,,,,
威廉·麦金利,威廉·麦金莱,William Mckinley,"俄亥俄的偶像,威廉·麦金利",,美国,,,美国俄亥俄州奈尔斯里,1843年(癸卯年)1月29日,"政治家,律师",,,共和党,,,,,,循道宗,美国第25任总统,,,,"前总统格罗弗·克利夫兰高度评价了麦金莱：“全体国民热爱他们已故的总统，他那和善的性格，慈祥的品德，以及对他周围人亲切的关怀，将永远留存在同胞们的心里和记忆之中，永垂不朽。”此公因任期内爆发1898年美西战争并夺取了大块殖民地而被视为令人敬畏的“硬汉”总统，尽管上述事件并非出自其本意。他做出了侵占菲律宾的决定，导致美军陷入一场血腥的殖民战争，使美国在20世纪初即给人以“自以为是的征伐者”印象，至今仍受到最多的非议。伍德罗·威尔逊曾如是说：他对于麦金莱的所作所为及期盼大权独揽的急迫心理深感理解。 [4] 
麦金莱死后不久出版的一本传记描绘了美国当时的气氛：“举国上下沉浸在极度悲伤之中……这次暗杀是历史上最最愚妄、最最没有意义的罪行。”
里奇认为，麦金莱的死令这个国家经历了一次转变，联邦政府从此变得更加庞大，国家的领导人也从坚定、忠实、和蔼和正直变得更紧张、强大而富于侵略性。“在一位年轻大胆船长的命令下，美国在二十世纪的风雨中启航。”
在示范有益和清廉的人生方面，在他忠实于民众的信任方面，以及在他表明不仅提高地位，而且导致成功的
忠厚品德价值方面，麦金莱都给我们留下了千金难买的礼物。——前总统格罗弗·克利夫兰 ",,,,,,
西奥多·罗斯福,西奥多·罗斯福,Theodore Roosevelt,狄奥多·罗斯福、老罗斯福,,美利坚合众国,荷兰人[1] ,,美国纽约州纽约市,1858年10月27日,,,,,,,,哈佛大学,,荷兰归正会,"美国历史上最年轻的在任总统开凿巴拿马运河,因调停日俄战争1906年获诺贝尔和平奖。美国艺术文学院成员[3] ",,,,"西奥多·罗斯福当政时期，是美国历史上一个承先启后、继往开来的时代。在此期间，西奥多·罗斯福调整了美国政府的内外政策，顺应了现代资本主义的发展，开启了20世纪美国资产阶级改良主义的先河，为统治阶级提供了新的统治经验，初步确立了美国在世界事务中的大国地位，使美国因社会大变动而发生的“不适应症”有所缓和，为美国后来的发展确立了新的出发点。 [8] 
在总统任期内，对国内，西奥多·罗斯福建立了资源保护政策，保护了森林、矿产、石油等资源；建立公平交易法案，推动劳资和解。同时，他主张用联邦政府的权力对现行秩序加以改革，因而发动了以反垄断为改革主要内容的“进步主义运动”，使美国社会重新走向和谐。对外，他奉行门罗主义，实行扩张政策，建设强大军队，干涉美洲事务。此外，他因成功地调停了日俄战争而获得1906年的诺贝尔和平奖，成为第一个获得此奖项的美国人。在调停过程中，他敏锐地察觉新崛起的日本对美国构成的潜在威胁，认识到巴拿马运河对美国不仅具有经济价值，而且能够使美国海军舰队在太平洋和大西洋之间的调动更加快捷，具有重要的军事战略意义。因此，他在任内竭力推动巴拿马运河工程，并且视其为自己最伟大的成就。",,在罗斯福担任总统后，1882年通过的《关于执行有关华人条约诸规定的法律》（即排华法案）第二次十年到期，在老罗斯福的推动下，《排华法案》于1902年取消时限，成为永久法案。直至1943年于小罗斯福总统任期内取消，2011年10月6日，美国参议院才通过迟来的《道歉法案》，向一个世纪以前被侮辱与被损害的华人道歉。,,,,
洛佩斯,克劳迪奥·洛佩斯,Claudio López(Claudio Javier López),小虫,,阿根廷(西班牙)双重国籍,,,里奥特尔塞罗,1974年7月17日,,,,,,,,拉普拉塔大学生青训,,,,,,,,,,,,,
罗伯特·奥本海默,尤利乌斯·罗伯特·奥本海默,Julius Robert Oppenheimer[4] ,,,美国[4] ,犹太人[4] ,,美国纽约[4] ,1904年4月22日[4] ,学者、物理学家[4] ,,,,,,,"哈佛大学,剑桥大学,哥廷根大学[1] ",,,"领导曼哈顿计划,“原子弹之父”[4] ",,,,,,,,,,
汤普森,大卫·汤普森,David John Howard THOMPSON,,,巴巴多斯,,,英国伦敦,1961.12.25,总理,,,,,,,,,,,,,,,,,,,,
约翰·刘易斯,约翰·刘易斯[2] ,John Lewis[2] ,,,美国,,,,1940年2月,,美国国会众议员[2] ,,,,,,,,,,,,,"2020年7月18日美国朝野纷纷悼念，总统特朗普下令降半旗志哀。根据特朗普的命令，当天全美所有公共建筑、海内外军事基地、美国驻外使领馆以及海军舰艇降半旗，对刘易斯逝世表示哀悼。
2020年7月18日美国白宫新闻秘书麦克纳尼发表声明说，刘易斯是“美国民权运动偶像”，留下了永远不会被忘记的不朽遗产。
美国国会众议院议长、民主党人佩洛西说，刘易斯是“美国民权运动巨人”，美国民众应将悼念化为激励，继续与种族和社会不公正现象做斗争。
美国民主党总统竞选人拜登，国会参议院多数党（共和党）领袖麦康奈尔，前总统奥巴马、小布什、克林顿和卡特等也发表声明表示哀悼",,,,,,
刘易斯,伦诺克斯·刘易斯,Lennox Lewis,狮子(The Lion)[5] ,,英国、加拿大[6] ,,,英国伦敦,1965年9月2日,,,,,,,,,,,,,,,,,,,,,
乐玉成,乐玉成,,,男,中国,,,江苏,1963年6月,,,,,,,,,大学,,,,,,,,,,,,
吉姆·奥尼尔,吉姆·奥尼尔,,,,英国,,,,,,,英国曼彻斯特大学经济学名誉教授,,,,,英国谢菲尔德大学和萨里大学,,,“金砖四国”(BRICs)这一名词的发明人与团队一道发表了多篇关于BRIC的报告,,,,,,,,,,
皮尤什·戈亚尔,皮尤什·戈亚尔,Piyush Goyal,,,印度,,,,,,,,,,,,,,,,,,,,,,,,,
克里斯·华莱士,克里斯·华莱士,"Christopher ""Chris"" Wallace",,,美国,,,,1947年10月12日,美国电视节目主持人、政治评论员,,,,,,,,,,,,,,,,,,,,
惠勒,约翰·阿奇博尔德·惠勒,John Archibald Wheeler,,,美国,,,佛罗里达州,1911年7月9日,物理学家、物理学思想家和物理学教育家,,,,,,,约翰斯·霍普金斯大学,,,,,,,"在惠勒2001年的90岁大寿上，戴森博士（Dr. Dyson）称赞惠勒说，他是解码核裂变的“工艺大师”，也是一名诗人。“诗性的惠勒是名预言家，就像摩西站在山顶上往下望，知道他的人民将有一点和他一样。”
惠勒则如此自我评价：“如果在物理上我有一点觉得更有义务，那就是如何把各个事物联系起来。我希望自己有一定的辨别能力。我愿意去任何地方，与任何人交谈，问任何能够促进进步的问题。”“我承认，我是一名乐观主义者，尤其乐于相信某一天所有的真相都会解开。那么多的年轻人都被迫去钻研一个领域，而无法承担解开真理的这个任务，只有我这样的老学究才可以，真的出洋相也能承受。如果我不做，那谁来做？”
惠勒是美国著名的物理学家、物理学思想家和物理学教育家。与其同时代的物理学家相比，他的名气远远不如他的博士后合作导师玻尔，他的同事爱因斯坦，也远远不如他的学生物理顽童费曼。在霍金流行全球之后，很多人都知道了“黑洞”这种奇怪的天体，但是很少有人知道，“黑洞”这个名字出自惠勒之手。
惠勒虽然没有得到中国人看重的诺贝尔奖，但是他无疑是美国最重要的物理学家之一。作为物理学家，惠勒最重要的工作是与玻尔合作，在1942年共同揭示了核裂变机制，并参加了研制原子弹的曼哈顿工程。他还是美国第一个氢弹装置的主要设计者之一。作为物理学教育家，惠勒培养出了几代美国物理学家，他指导过的博士达50位之多——当下美国宇宙学或者天体理论物理的一线人物有相当一部分是惠勒的学生。",,,,,,
查克·伍勒里,查克·伍勒里,,,,美国,,,,,美国前游戏节目主持人,,,,,,,,,,,,,,,,,,,,
马克·扬,马克·扬,,,男,奥地利,,,,,球员,,,,,,,,,,,,,,,,,,,,
杨新鹏,杨新鹏,,,,,汉族,,山西太原,1981年8月,,,,,,,,,,,,,,,,,,,,,
谢尔盖·拉夫罗夫,拉夫罗夫·谢尔盖·维克托罗维奇[4] ,Sergey Lavrov[5] ,,,俄罗斯,俄罗斯族,,莫斯科,1950年3月21日,,俄罗斯外交部长,,,,,,莫斯科国立国际关系学院[4] ,,,获颁一等“祖国功勋”勋章,,,,,,"当地时间2018年9月25日，国务委员兼外长王毅在纽约出席联合国大会期间会见俄罗斯外长拉夫罗夫。
王毅表示，习近平主席不久前赴俄罗斯出席第四届东方经济论坛，同普京总统深入沟通交流，增进了两国之间的战略互信，对双方进一步加强互利合作以及在国际事务中发挥更大作用具有重要意义。双方要共同规划好下阶段两国高层交往。当前国际形势下，中俄要加强战略沟通协调，同各方一道，坚定维护多边主义、维护国际法、维护自由贸易体制，为国际社会提供更多的正能量。
拉夫罗夫表示，普京总统对不久前同习近平主席在符拉迪沃斯托克的会晤十分满意。俄方赞同当前形势下，俄中双方要密切国际事务和多边机制中的沟通协调，共同维护国际公平正义。 [2] 
2019年5月22日，国务委员兼外交部长王毅在比什凯克出席上海合作组织成员国外长会期间会见俄罗斯外长拉夫罗夫 [8]  。
2020年2月15日，俄罗斯外交部长拉夫罗夫在慕尼黑安全会议上表示，俄罗斯将继续提供医疗设备支持中国抗击疫情。拉夫罗夫当天说，在抗击疫情中，中国的努力很成功、消息很透明；俄罗斯与中国人民团结一致，将继续为中国提供包括医疗设备在内的各种物资，支持中国抗击疫情。 [9] 
2020年3月27日，国务委员兼外长王毅应约同俄罗斯外长拉夫罗夫通电话。王毅表示，26日晚，习近平主席和普京总统通过视频连线出席二十国集团领导人特别峰会，各自发表了重要讲话，就开展防疫抗疫国际合作提出一系列重大倡议。中俄两国立场高度一致，向世界发出积极有力信号，推动峰会取得圆满成功。当前疫情在全球加速蔓延，国际社会面临共同挑战。中方欢迎一切有利于加强抗疫国际合作的倡议，也愿同俄方及其他安理会常任理事国加强沟通协调，共同推动全球合力抗击疫情。拉夫罗夫高度赞赏中国抗疫取得阶段性胜利，积极评价俄中抗疫合作。拉夫罗夫表示，俄方正积极借鉴中方经验，并结合俄方自身实际开展抗疫工作。俄方高度评价二十国集团领导人特别峰会取得的丰富成果，认为峰会有助于推动国际社会加强协调合作，携手抗击疫情。俄中在重大国际地区问题上有相同或相似立场。面对疫情带来的全球性挑战，俄方愿同中方加强在包括安理会等多边框架下的协调合作。",,,,
罗伯特•雷德菲尔德,罗伯特·雷德菲尔德,Robert Redfield,,,美国,,,,1951年,,美国疾病控制与预防中心主任,,,,,,,,,,,,,,,,,,,
凯文·斯蒂特,凯文·斯蒂特,,,,,,,,,,美国俄克拉何马州州长,,,,,,,,,,,,,,,,,,,
菲利普·索贝克,菲利普·索贝克,,,,美国,,,,,,,,,,,,,,,,,,,,,,,,,
杰夫·贝索斯,杰夫·贝索斯,Jeff Bezos,杰夫,,美国,,,美国新墨西哥州阿尔布奎克,1964年,企业家,亚马逊集团董事会主席兼CEO,,,,,,美国普林斯顿大学,,,创办Amazon(亚马逊)2014年胡润全球富豪榜前7位2018年福布斯富豪榜第1位,,,,,,,,,,
坎耶·韦斯特,坎耶·维斯特,Kanye Omari West,Ye、Yeezy、侃爷[17] ,,美国,,,美国乔治亚州亚特兰大,1977年6月8日,歌手、音乐制作人、商人、服装设计师,,,,,,2.4亿美元[18] ,波拉瑞斯高中,,,21座格莱美奖7张公告牌冠军专辑12座黑人娱乐电视大奖两度入选《时代周刊》百大人物,Gold Digger、Stronger、Power、Heartless,,金·卡戴珊,,,,,,,
马斯克,埃隆·马斯克,Elon Musk,伊隆·马斯克,,南非、加拿大、美国[1] ,,,,1971年6月28日,企业家、慈善家,,,,,,,宾夕法尼亚大学,,,2013年荣登《财富》杂志年度商业人物榜首,,,,"埃隆·马斯克的朋友们评价他是个目标极其明确的人，他习惯从工程师的视角看世界。Adeo Ressi，他在宾夕法尼亚大学的室友说，他也是一个疯狂的创业者，大学时候，两人曾经开了一个夜总会，每次警察打来电话，总是马斯克故作冷静地回应。
他在上大学的时候就常常思考，这个世界面临的真正问题是什么，哪些会影响到人类的未来。他看好互联网，可持续能源和空间探索。后来他依约进入了这三个领域，并依次扔下PayPal，Tesla Motors和SpaceX三个重磅炸弹。
“只要他看好的，他会一直努力，直到达到目标。”Ressi说。
对于那些反对他的人，他会不遗余力地反击，毫不掩饰自己的真实想法。",,,,,,
扎克伯格,马克·艾略特·扎克伯格,Mark Elliot Zuckerberg,马克·扎克伯格(Mark Zuckerberg),,美国,犹太人,,美国纽约州白原市,1984年05月14日,企业家,,,,,,,哈佛大学,,,被人们誉为“盖茨第二”美国社交网站Facebook(脸书)的联合创始人被人们冠以“全球最年轻的自行创业亿万富豪”,Facebook社交网站,,,"扎克伯格作为Facebook创始人兼CEO，日常工作不在少数，但他依然坚持在工作之余读书，扎克伯格希望看书的同时，好好思考下Facebook的未来，也塑造自己新的思维模式，也许扎克伯格觉得，常识观点对思考社交媒体广告策略能产生一定启发，所以从书中寻找黄金屋，从别人的观念里获得启示，不失为明智之举。 [46]  （美国中文网评）
他勤学好问，常常跟着他认识的最好领导人，并大量阅读相关主题的知识。他还联系史蒂夫·乔布斯（Steve Jobs）、比尔·盖茨（Bill Gates）和其他人，那些人不仅建立了自己的公司而且为新行业发展建立了平台。扎克伯格像海绵一样学习，并天生好奇。他不耻于承认他的无知，也不害怕提出困难的问题，“为什么?”是他最喜欢说的。",,,,,,
文在寅,文在寅,문재인、Moon Jae-in,,,韩国,,,庆尚南道巨济市,1953年1月24日,政治家、总统,,,,共同民主党,,,庆熙大学法学院,,天主教,协助卢武铉成功入主青瓦台第19届国会议员当选第19届韩国总统[6] ,,,,,,,,,,
霍根,霍根,Hogan,,,英格兰,,,哈洛(英格兰),1989/5/31,,,,,,,,,,,,,,,,,,,,,
梅德韦杰夫,德米特里·阿纳托利耶维奇·梅德韦杰夫,"俄罗斯语:Дмитрий Анатольевич Медведев,英语:Dmitry Anatolyevich Medvedev",季马,,俄罗斯,俄罗斯人,,圣彼得堡,1965年9月14日,政治家、教授,,,统一俄罗斯党,,,,圣彼得堡国立大学,,东正教,当选俄罗斯联邦总统当选俄罗斯联邦总理推动俄罗斯加入世界贸易组织,,,斯韦特兰娜·梅德韦杰娃,"梅德韦杰夫是值得尊敬和爱戴的人，
他在我们伟大的国家处于痛苦的探索阶段时开始领导她，俄罗斯人感激他真挚的初衷以及为国家辛劳承担重任的诚意。（戈尔巴乔夫评） [65] 
梅德韦杰夫是一个忠诚的人，思维活跃不陈旧，具有团队精神，让人信赖。（普京评） [66] 
梅德韦杰夫是美国“稳固可靠的盟友”。 [67]  他是一个“充满想法、面向未来的人……有能力在21世纪正确领导俄罗斯”。 [68]  （奥巴马评）
梅德韦杰夫从来不对自己不了解的事物匆忙下结论——他总是把工作安排得井然有序，从不手忙脚乱，是一位训练有素的高级管理人才。（凤凰网评） [14] 
2012年3月，梅德韦杰夫总统任期将至，根据俄罗斯“社会舆论”基金会的问卷调查，41%的俄罗斯人认为梅德韦杰夫在其任内功大于过，23%的人持相反意见。梅德韦杰夫任内最大功绩在受访者心目中的排位依次为：成功的对外政策，解决社会问题，积极采取抗金融危机的措施，与普京成功的配合和反腐败。",,,,,,
阿萨·哈钦森,阿萨·哈钦森,,,,,,,,,,美国阿肯色州州长,,,,,,,,,,,,,,,,,,,
韦林,韦林,,男,,中国,布依族,,贵州镇宁人,1956年10月出生,,,,,,,,,,,,,,,,,,,,,
赛勒斯·万斯,赛勒斯·万斯,,,,,,,美国西弗吉尼亚州,1917年3月27日,,,,,,,,,,,,,,,,,"中国人民不会忘记，万斯生命中色彩最重的一笔，是他在担任卡特政府国务卿期间，为中美建交和两国关系的发展作出的积极贡献。
中美发展与建立友好关系是双方的共同愿望，也有利于亚洲和世界的和平与发展。1972年美国总统尼克松访华，两国间长期对峙的局面开始解冻。到上世纪 70年代后期，中美建交时机日益成熟。卡特出任美国总统后，立即着手美中建交工作，担任国务卿的万斯受命访华，商讨两国建交谈判事宜。1979年1月1日起，中美建立正式外交关系。身为美国国务卿，万斯在中美建交谈判中劳苦功高。",,,,
斯廷森,斯廷森,,,,英格兰,,,英格兰,,,,,,,,,,,,,,,,,,,,,,
彼得森,尤尔根·彼得森,J?rgen Pettersson,,男,瑞典,,,隆德(瑞典),1975年09月29日,,,,,,,,,,,,,,,,,,,,,
帕斯卡尔·拉米,帕斯卡尔·拉米,Pascal Lamy,,,法国,,,法国,1947年,"政治家,商人",世界贸易组织(WTO)总干事,,,,,,,,,,,,,,,,,"首先应该指出，他隶属法国社会党。但是，他又是个贸易专家，主张推进经贸交流，主张兼顾各方利益。他在欧盟做贸易委员时，在削减农产品出口补贴问题上，力排众议，发挥了应有的作用。因此，法国的右翼指责他出卖了法国的农业利益，说他“左”。由于他主张推进经贸交流，法国的左翼则把他定位为“自由贸易派”。在西方，自由贸易派的帽子是带在美、英头上的。他的处境真有点左派不亲、右派不爱的味道。
在法国，戴高乐派是右派，社会党是左派。辩论起来，各执一词，一旦当了政，无论是内政外交，实在看不出有多大区别。若有的话，也是表现在细节和个案上。左右阵营中，又有保守和激进之分。从拉米的言行来看，他是社会党内的中间派，或者说是个有自由色彩的社会党人。社会党内最左端的人反对欧盟“自由化”取向，强调维持社会福利的重要性，也反对全球化的发展。拉米全然不接受此类论点。2004年10月，他在接受法国《快报》采访时说，一些左派人士对于市场和资本主义进行批判，其中的某些价值我是接受的，但是，这些批判在精神和智力的层面上，并没有可观的创新。在蒲鲁东（法国空想社会主义者，提出了著名的“财产即盗窃”的口号）的批判和博维（法国现时左翼激进派）的批判之间，我看不出思想上的飞跃。",,
亚当·希夫,亚当·希夫,Adam Schiff,,,,,,,1960年,,美国众议院情报委员会主席、美国众议院议员,,,,,,,,,,,,,,,,,,,
汤姆·佩雷斯,汤姆·佩雷斯,,,,美国,,,,,律师,,,,,,,,,,,,,,,,,,,,
马斯,马斯,Emmanuel Mas,,,阿根廷、意大利,,,阿根廷,1989年1月15日,,,,,,,,,,,,,,,,,,,,,
刘杰,刘杰,Jie Liu,刘渤生(原名)、张华文(曾用名),男,中国,汉,,河北威县,1915年1月,公务员,,,,,,,沧州一中,,,"中共七大、十二大,第五届全国人大代表",,,,,,,,,,
罗恩·德桑蒂斯,罗恩·德桑蒂斯,Ron DeSantis,,,美国,美利坚民族,,,1978年9月14日,,佛罗里达州州长,,,,,,耶鲁大学[2] 、哈佛大学法学院[2] ,,,,,,,,,,,,,
 刘杰,刘杰,Jie Liu,刘渤生(原名)、张华文(曾用名),男,中国,汉,,河北威县,1915年1月,公务员,,,,,,,沧州一中,,,"中共七大、十二大,第五届全国人大代表",,,,,,,,,,
鲍威尔,杰罗姆·鲍威尔,Jerome Powell,,男,美国,,,美国首都华盛顿,1953年2月4日,,,,,,,,普林斯顿大学,,,美国联邦储备委员会主席,,,,"华尔街日报》称，华尔街将视鲍威尔为放松监管方面的友好人物。 [1] 
彭博社的研究人员认为，鲍威尔为既不是鹰派、也不是鸽派的中立派。
观点普遍认为，鲍威尔接替耶伦能够保持政策的连续性，最重要的是，能够保持美联储利率政策的连续性。",,,,,,
诺贝尔,阿尔弗雷德·贝恩哈德·诺贝尔,Alfred Bernhard Nobel,诺贝尔,,瑞典,,,斯德哥尔摩,1833年10月21日,,,,,,,,,,,诺贝尔奖创始人矽藻土炸药瑞典科学研究院亚斯特奖,,,,"诺贝尔毕生致力于科学发明的实用普及，死后都把自己全部财产捐献出来成立了举世闻名的诺贝尔奖，这种精神值得赞叹。 [13]  （腾讯网评）
诺贝尔是位崇尚科学的人、是个有文学企图心的热情读者。 [14]  （诺贝尔传记作者佛瑞迪克森评）
诺贝尔不愧是一位19世纪典型的、极赋天才的发明家，他的发明似乎更多地来自于其敏锐的直觉和非凡的创造力。 [15]  （中青网评）
诺贝尔不仅把自己的毕生精力全部贡献给了科学事业，而且还在身后留下遗嘱，把自己的遗产全部捐献给科学事业，他的名字和人类在科学探索中取得的成就一道，永远地留在了人类社会发展的文明史册上。 [4]  （人民网评）
诺贝尔对金钱和财物并不贪得无厌，对旁人慷慨施舍，对发展科学大力援助，自己却生活俭朴，一生在艰苦中度过。他为人类创造了大量物质文明财富，给人类留下了艰苦创业，不慕功利与虚名的精神。 [6]  （北方网评）
诺贝尔不善言辞，爱好孤独且易于畏缩，所以对一般大众只将他视为战争与破坏工具的发明人而不多做辩解。他喜欢思考，具有空想的诗人及梦想家本质、敏锐的洞察力及不屈的精神，同时也憎恨战争，对炸药被转为军事用途而感到忧心。总之，他的性格中有相当显著的对立性。他对人生常保持着诗人的态度。",,,,,,
约瑟夫·奈,约瑟夫·奈,Joseph Nye,,,美国,,,,1937年,,,,,,,,普林斯顿大学、英国牛津大学,,,“软实力”概念提出者,,,,,,,,,,
希利,戴维·希利,David Healy,,,北爱尔兰,,,唐帕特里克(北爱尔兰),1979/8/5,,,,,,,,,,,,,,,,,,,,,
理查德·里夫斯,理查德·里夫斯,Richard Reeves,,,,,,,,作家,,,,,,,,,,,《尼克松:孤独的白宫主人》、《里根:想象的胜利》,,,,,,,,,
